"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"Sony";"TV";"KDL-46Z4100";;;"TAKES A WHILE TO COME ON ((2008 MODEL - PROBABLY NEEDS CAPS)) 321";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Adcom";"amp, power";"GFA5800";;;"SAYS HE USED ""HOME MADE SPEAKER WIRE"" AND NOW IT HAS 86 VOLTS FROM THE LEFT CHANNEL AND BLEW UP HIS SPEAKER.";;"7/14 trying to track down parts. 08/24
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Whirlpool";;"LEN2000LW0";;;"NEED MOUNTING BRACKET WHERE ALL ELCTRICAL GOES. LOCKING BOLT, HAD TO TEAR OUT CONNECTING PIECE. GET WHOLE NEW PIECE";;"Look at text. Find part number of mounting bracket and give estimate- Aaron ((There is no location for this ticket, was it even printed?))";"WP3397659";;;;;;;"279393";;;;;;;;"T Block 0633";;;;;;;"Screw Kit 1199";;;;;;;
;;;;;"HAS SEVERAL TV TO CHECK AT THE PUB";;;"_";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ACP";"Microwave";"ALD10D";"Commerical Microwave";;"QUIT WORKING AND WAS VERY HOT. WOULD NOT GIVE ANY INDICATION THAT THERE WAS POWER AFTER THAT.";;"Shop Note: Unit dead. emailed pg for p and a. 07/10dk
";"	56002005";;;;;;;"	56002021";"m0805101";;"G5G-1ADC12";;;;;"Fltr/FuseBlck2265";;;;;;;"HV Trans 171.83";"20A 250V 278";;"relay";;;;
"Bose";"cd player";"AWR1-1W";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HISENSE";"TV";"75H6570G";"selfpay";;"TV WILL TURN ITSELF OFF AFTER ABOUT 20 SECONDS OF BEING TURNED ON.";;"see memo *ask Karim*

LVM to update customer. 9/14/23, K";"kit-75H6570G-k1";;;;;;;"267114";;;;;;;;"parts kit14999";;;;;;;"MAIN 119.00";;;;;;;
"Solwave";"Microwave";"SWA21T";;;"NO POWER";;"Shop note: Unit is dead. 12A fuse is blown. Lower mag is not heating. 
Lower mag HV fuse is blown, lwer mag transformer shorted. 07/26 kg";"54116050";;;;;;;"6324W1A001l";"13066801";"53002040";;;;;;"hv fuse 10.60";;;;;;;"Mag 2M246-35TYG";"inner windw 15.00";"HVTx160.50";;;;;
"Razor";"scooter";;;;;;"3625";"w15120040003";;;;;;;;;;;;;;;"24v battery";;;;;;;;;;;;;;
"Razor";"bike";"MX350";;;;;;"W15128190012";;;;;;;"W15128190153";"W15128190053";;;;;;;"Chain 1196";;;;;;;"Suspension1675";"Handlebars1196";;;;;;
"Vizio";"TV";"V505-G9";;;"LEDS STAY ON FOR A SHORT TIME THEN FADE OFF.";;"LEDs arent working LEDs  may fix tv but if you get main and power supply get kit 8-8-23-K-GP lmc est no decision. 08/08dk";"JL.D50091330-20";;;;;;;"LINIXXKU-main";"LINIXXKU-POWER";;;;;;;"LEDs 31.99";;;;;;;"main 31.98";"power supply";;;;;;
